Start: 2023-08-06 17:09:42, End: 2023-08-06 17:14:49, Duration: 0:05:06.625213, Max Elevation: 86.09 degrees
Start: 2023-08-07 06:10:05, End: 2023-08-07 06:15:05, Duration: 0:04:59.885277, Max Elevation: 63.20 degrees
Start: 2023-08-07 16:55:43, End: 2023-08-07 17:00:44, Duration: 0:05:01.035181, Max Elevation: 67.46 degrees
Start: 2023-08-08 05:56:12, End: 2023-08-08 06:00:49, Duration: 0:04:36.507493, Max Elevation: 44.20 degrees
Start: 2023-08-08 07:31:47, End: 2023-08-08 07:32:59, Duration: 0:01:12.163560, Max Elevation: 20.77 degrees
Start: 2023-08-08 16:41:53, End: 2023-08-08 16:46:34, Duration: 0:04:40.922516, Max Elevation: 47.61 degrees
Start: 2023-08-09 05:42:29, End: 2023-08-09 05:46:20, Duration: 0:03:51.212626, Max Elevation: 31.72 degrees
Start: 2023-08-09 07:16:50, End: 2023-08-09 07:20:04, Duration: 0:03:14.644810, Max Elevation: 27.25 degrees
Start: 2023-08-09 16:28:13, End: 2023-08-09 16:32:16, Duration: 0:04:03.610265, Max Elevation: 34.59 degrees
Start: 2023-08-09 18:03:04, End: 2023-08-09 18:05:48, Duration: 0:02:44.101746, Max Elevation: 24.54 degrees
Start: 2023-08-10 05:29:04, End: 2023-08-10 05:31:27, Duration: 0:02:23.750538, Max Elevation: 23.30 degrees
Start: 2023-08-10 07:02:23, End: 2023-08-10 07:06:35, Duration: 0:04:12.293944, Max Elevation: 36.54 degrees
Start: 2023-08-10 16:14:47, End: 2023-08-10 16:17:47, Duration: 0:02:59.883555, Max Elevation: 25.91 degrees
Start: 2023-08-10 17:48:17, End: 2023-08-10 17:52:18, Duration: 0:04:00.946550, Max Elevation: 33.53 degrees
Start: 2023-08-11 06:48:06, End: 2023-08-11 06:52:52, Duration: 0:04:46.188590, Max Elevation: 50.61 degrees
Start: 2023-08-11 17:33:50, End: 2023-08-11 17:38:31, Duration: 0:04:41.745645, Max Elevation: 46.99 degrees
Start: 2023-08-12 06:33:55, End: 2023-08-12 06:38:59, Duration: 0:05:03.669123, Max Elevation: 71.87 degrees
Start: 2023-08-12 17:19:33, End: 2023-08-12 17:24:35, Duration: 0:05:02.092065, Max Elevation: 67.44 degrees
Start: 2023-08-13 06:19:50, End: 2023-08-13 06:24:56, Duration: 0:05:06.580594, Max Elevation: 81.10 degrees
Start: 2023-08-13 17:05:26, End: 2023-08-13 17:10:33, Duration: 0:05:06.611413, Max Elevation: 85.79 degrees
Start: 2023-08-14 06:05:49, End: 2023-08-14 06:10:44, Duration: 0:04:54.855009, Max Elevation: 56.77 degrees
Start: 2023-08-14 16:51:27, End: 2023-08-14 16:56:24, Duration: 0:04:56.858418, Max Elevation: 60.73 degrees
Start: 2023-08-15 05:51:56, End: 2023-08-15 05:56:22, Duration: 0:04:25.616303, Max Elevation: 39.90 degrees
Start: 2023-08-15 07:27:02, End: 2023-08-15 07:29:07, Duration: 0:02:05.337442, Max Elevation: 22.50 degrees
Start: 2023-08-15 16:37:36, End: 2023-08-15 16:42:08, Duration: 0:04:31.821016, Max Elevation: 43.09 degrees
Start: 2023-08-16 05:38:13, End: 2023-08-16 05:41:44, Duration: 0:03:31.040014, Max Elevation: 28.83 degrees
Start: 2023-08-16 07:12:17, End: 2023-08-16 07:15:52, Duration: 0:03:35.586117, Max Elevation: 29.70 degrees
Start: 2023-08-16 16:23:57, End: 2023-08-16 16:27:44, Duration: 0:03:47.845998, Max Elevation: 31.59 degrees
Start: 2023-08-16 17:58:22, End: 2023-08-16 18:01:36, Duration: 0:03:13.775614, Max Elevation: 26.95 degrees
Start: 2023-08-17 05:25:00, End: 2023-08-17 05:26:32, Duration: 0:01:32.103664, Max Elevation: 21.25 degrees
Start: 2023-08-17 06:57:50, End: 2023-08-17 07:02:15, Duration: 0:04:24.684503, Max Elevation: 40.23 degrees
Start: 2023-08-17 16:10:35, End: 2023-08-17 16:13:05, Duration: 0:02:30.486853, Max Elevation: 23.81 degrees
Start: 2023-08-17 17:43:39, End: 2023-08-17 17:47:56, Duration: 0:04:16.372579, Max Elevation: 37.10 degrees
Start: 2023-08-18 06:43:33, End: 2023-08-18 06:48:26, Duration: 0:04:53.017441, Max Elevation: 56.36 degrees
Start: 2023-08-18 17:29:12, End: 2023-08-18 17:34:03, Duration: 0:04:50.026832, Max Elevation: 52.54 degrees
Start: 2023-08-19 06:29:20, End: 2023-08-19 06:34:26, Duration: 0:05:05.840143, Max Elevation: 80.05 degrees
Start: 2023-08-19 17:14:56, End: 2023-08-19 17:20:01, Duration: 0:05:04.986879, Max Elevation: 75.48 degrees
